contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250721C00638000,2025-07-18,638.0,0.01,0.0,0.01,-0.02,-66.66667,1975.0,4311,0.1289149609375,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00639000,2025-07-18,639.0,0.01,0.0,0.01,-0.01,-50.0,774.0,1090,0.14063359375,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00640000,2025-07-18,640.0,0.01,0.0,0.01,-0.01,-50.0,1985.0,2002,0.148446015625,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00641000,2025-07-18,641.0,0.01,0.0,0.01,0.0,0.0,1527.0,738,0.1601646484375,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00642000,2025-07-18,642.0,0.01,0.0,0.01,0.0,0.0,145.0,2023,0.17188328125000002,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00643000,2025-07-18,643.0,0.01,0.0,0.01,0.0,0.0,5.0,452,0.179695703125,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00644000,2025-07-17,644.0,0.01,0.0,0.01,0.0,0.0,5.0,240,0.1914143359375,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00645000,2025-07-18,645.0,0.01,0.0,0.01,0.0,0.0,77.0,534,0.20313296874999998,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00646000,2025-07-18,646.0,0.01,0.0,0.01,-0.01,-50.0,3.0,25,0.21094539062499998,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00647000,2025-07-16,647.0,0.01,0.0,0.01,0.0,0.0,100.0,922,0.22266402343749997,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00648000,2025-07-16,648.0,0.01,0.0,0.01,0.0,0.0,2.0,7,0.2304764453125,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00649000,2025-07-18,649.0,0.1,0.0,0.01,0.09,900.0002,1.0,386,0.242195078125,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00650000,2025-07-18,650.0,0.01,0.0,0.01,0.0,0.0,64.0,367,0.2500075,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00655000,2025-07-16,655.0,0.01,0.0,0.01,0.0,0.0,1.0,153,0.3007882421875,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00660000,2025-07-11,660.0,0.02,0.0,0.01,0.0,0.0,1.0,4,0.34766277343749996,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00665000,2025-07-15,665.0,0.01,0.0,0.01,0.0,0.0,1000.0,1003,0.39063109375,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00670000,2025-07-15,670.0,0.01,0.0,0.01,0.0,0.0,82.0,244,0.437505625,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00680000,2025-07-09,680.0,0.02,0.0,0.01,0.0,0.0,,51,0.500005,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00685000,2025-07-08,685.0,0.01,0.0,0.01,0.0,0.0,,1,0.5312546875,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00690000,2025-07-09,690.0,0.01,0.0,0.01,0.0,0.0,,10,0.57812921875,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00695000,2025-07-17,695.0,0.01,0.0,0.01,0.0,0.0,1.0,101,0.6250037500000001,False,REGULAR,USD,2025-07-21,CALL
SPY250721C00700000,2025-07-07,700.0,0.01,0.0,0.01,0.0,0.0,,1,0.6562534375000001,False,REGULAR,USD,2025-07-21,CALL
SPY250722C00550000,2025-07-09,550.0,73.19,76.68,78.75,0.0,0.0,,20,0.7832052929687501,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00570000,2025-07-17,570.0,57.54,56.65,58.75,0.0,0.0,1.0,2,0.585941640625,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00580000,2025-07-18,580.0,47.55,46.7,48.77,6.739998,16.515554,3.0,3,0.5117236328125,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00585000,2025-07-18,585.0,42.2,41.66,43.76,4.540001,12.055234,8.0,10,0.6875031250000001,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00590000,2025-07-16,590.0,33.7,36.67,38.5,0.0,0.0,2.0,3,0.5861857788085938,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00595000,2025-07-18,595.0,32.23,31.67,33.78,4.58,16.564196,1.0,5,0.561527822265625,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00596000,2025-07-16,596.0,31.59,30.67,32.76,5.3099995,20.205477,1.0,2,0.5459029785156251,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00598000,2025-07-18,598.0,30.1,28.71,30.76,4.6000004,18.039217,2.0,3,0.5197801928710937,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00600000,2025-07-18,600.0,27.63,26.71,28.77,-0.0700016,-0.25271335,51.0,2,0.4943898217773438,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00605000,2025-07-18,605.0,22.35,21.69,23.8,-0.11999893,-0.5340407,5.0,9,0.4304256176757813,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00606000,2025-07-18,606.0,21.34,21.65,21.8,-0.95000076,-4.262004,4.0,14,0.2749095947265625,True,REGULAR,USD,2025-07-22,CALL
SPY250722C00608000,2025-07-18,608.0,19.65,19.66,19.81,1.3400002,7.3184066,29.0,14,0.2563550927734375,True,REGULAR,USD,2025-07-22,CALL
