contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250722P00450000,2025-07-11,450.0,0.02,0.0,0.01,0.0,0.0,5.0,5,1.3125034374999998,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00465000,2025-07-09,465.0,0.02,0.0,0.01,0.0,0.0,,1,1.21875390625,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00485000,2025-07-15,485.0,0.01,0.0,0.01,0.0,0.0,40.0,42,1.0468797656250002,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00495000,2025-07-11,495.0,0.03,0.0,0.01,0.0,0.0,125.0,125,0.9687503125,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00510000,2025-07-14,510.0,0.03,0.0,0.01,0.0,0.0,65.0,329,0.8437515624999999,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00515000,2025-07-17,515.0,0.01,0.0,0.01,0.0,0.0,1.0,2,0.8125018749999999,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00520000,2025-07-16,520.0,0.01,0.0,0.01,0.0,0.0,1120.0,568,0.7812521875,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00530000,2025-07-18,530.0,0.01,0.0,0.01,-0.02,-66.66667,45.0,305,0.70312796875,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00535000,2025-07-18,535.0,0.01,0.0,0.01,0.0,0.0,628.0,245,0.6718782812500002,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00545000,2025-07-18,545.0,0.01,0.01,0.02,-0.01,-50.0,917.0,291,0.6562534375000001,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00550000,2025-07-18,550.0,0.02,0.01,0.02,0.0,0.0,4.0,15,0.6171913281250001,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00555000,2025-07-18,555.0,0.01,0.01,0.02,-0.01,-50.0,412.0,172,0.57812921875,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00560000,2025-07-18,560.0,0.02,0.01,0.02,-0.01,-33.333336,11.0,303,0.5390671093750001,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00565000,2025-07-18,565.0,0.01,0.01,0.02,-0.11,-91.66667,740.0,1054,0.500005,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00570000,2025-07-18,570.0,0.02,0.01,0.02,-0.02,-50.0,1143.0,355,0.476567734375,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00575000,2025-07-18,575.0,0.02,0.02,0.03,-0.02,-50.0,1042.0,468,0.45508357421875,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00580000,2025-07-18,580.0,0.02,0.02,0.03,-0.02,-50.0,1076.0,90,0.414068359375,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00585000,2025-07-18,585.0,0.02,0.02,0.03,-0.030000001,-60.000004,1268.0,552,0.37500625,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00590000,2025-07-18,590.0,0.03,0.02,0.03,-0.03,-50.0,37.0,5235,0.33399103515625,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00591000,2025-07-18,591.0,0.03,0.02,0.03,-0.13,-81.25,48.0,305,0.3242255078124999,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00592000,2025-07-18,592.0,0.03,0.02,0.03,-0.04,-57.142853,34.0,148,0.31641308593749995,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00593000,2025-07-18,593.0,0.03,0.03,0.04,-0.03,-50.0,4.0,427,0.32031929687499994,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00594000,2025-07-18,594.0,0.03,0.03,0.04,-0.04,-57.142853,4.0,2180,0.31055376953124997,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00595000,2025-07-18,595.0,0.04,0.03,0.04,-0.030000001,-42.857143,42.0,793,0.30274134765625,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00596000,2025-07-18,596.0,0.04,0.03,0.04,-0.030000001,-42.857143,35.0,820,0.29492892578124996,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00597000,2025-07-18,597.0,0.04,0.03,0.04,-0.050000004,-55.555557,194.0,1154,0.28613995117187496,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00598000,2025-07-18,598.0,0.05,0.03,0.04,-0.040000003,-44.444447,2240.0,743,0.27735097656249996,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00599000,2025-07-18,599.0,0.05,0.03,0.04,-0.040000003,-44.444447,6.0,299,0.2695385546875,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00600000,2025-07-18,600.0,0.03,0.03,0.04,-0.060000002,-66.66667,531.0,1128,0.260749580078125,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00601000,2025-07-18,601.0,0.05,0.03,0.04,-0.06,-54.545456,46.0,1099,0.25196060546875,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00602000,2025-07-18,602.0,0.06,0.04,0.05,-0.040000003,-40.000004,111.0,789,0.25098405273437496,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00603000,2025-07-18,603.0,0.07,0.04,0.05,-0.04,-36.363636,76.0,1258,0.242195078125,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00604000,2025-07-18,604.0,0.05,0.04,0.05,-0.05,-50.0,68.0,701,0.233406103515625,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00605000,2025-07-18,605.0,0.05,0.04,0.05,-0.10000001,-66.66667,836.0,1264,0.22461712890624996,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00606000,2025-07-18,606.0,0.05,0.05,0.06,-0.11,-68.75,919.0,1081,0.22168747070312497,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00607000,2025-07-18,607.0,0.06,0.05,0.06,-0.08,-57.142853,503.0,472,0.21289849609375,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00608000,2025-07-18,608.0,0.07,0.05,0.06,-0.089999996,-56.25,237.0,863,0.20410952148437497,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00609000,2025-07-18,609.0,0.07,0.06,0.07,-0.12,-63.15789,353.0,392,0.1992267578125,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00610000,2025-07-18,610.0,0.08,0.07,0.08,-0.120000005,-60.000004,2895.0,1419,0.194343994140625,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00611000,2025-07-18,611.0,0.08,0.08,0.09,-0.15,-65.21739,306.0,668,0.188484677734375,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00612000,2025-07-18,612.0,0.1,0.09,0.1,-0.15,-60.000004,555.0,888,0.18164880859375,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00613000,2025-07-18,613.0,0.1,0.1,0.11,-0.18,-64.28572,413.0,1010,0.174812939453125,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00614000,2025-07-18,614.0,0.13,0.12,0.13,-0.20000002,-60.606064,1070.0,781,0.16993017578125003,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00615000,2025-07-18,615.0,0.15,0.14,0.15,-0.22,-59.45946,2272.0,1637,0.16407085937500002,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00616000,2025-07-18,616.0,0.17,0.17,0.18,-0.24999999,-59.523808,981.0,542,0.1596763720703125,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00617000,2025-07-18,617.0,0.21,0.21,0.22,-0.26999998,-56.25,1243.0,853,0.15528188476562502,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00618000,2025-07-18,618.0,0.26,0.25,0.26,-0.29000002,-52.727276,2902.0,1315,0.14966670654296876,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00619000,2025-07-18,619.0,0.32,0.31,0.32,-0.32999998,-50.769226,2378.0,1318,0.145516357421875,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00620000,2025-07-18,620.0,0.39,0.38,0.39,-0.35000002,-47.2973,8069.0,2299,0.14063359375,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00621000,2025-07-18,621.0,0.47,0.46,0.48,-0.41,-46.590908,4565.0,1031,0.1362391064453125,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00622000,2025-07-18,622.0,0.58,0.57,0.59,-0.42000002,-42.0,1278.0,1880,0.1313563427734375,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00623000,2025-07-18,623.0,0.73,0.72,0.73,-0.44999993,-38.13559,5492.0,1093,0.12671771728515624,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00624000,2025-07-18,624.0,0.91,0.89,0.9,-0.47999996,-34.53237,10240.0,1095,0.12183495361328125,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00625000,2025-07-18,625.0,1.12,1.11,1.13,-0.5,-30.864197,9008.0,2020,0.11792874267578124,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00626000,2025-07-18,626.0,1.39,1.39,1.4,-0.5,-26.455027,6471.0,934,0.1132901171875,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00627000,2025-07-18,627.0,1.74,1.73,1.75,-0.5,-22.321428,11384.0,1075,0.10938390625,False,REGULAR,USD,2025-07-22,PUT
SPY250722P00628000,2025-07-18,628.0,2.17,2.15,2.17,-0.48000002,-18.113209,8536.0,1022,0.10535562622070313,True,REGULAR,USD,2025-07-22,PUT
SPY250722P00629000,2025-07-18,629.0,2.7,2.65,2.68,-0.39999986,-12.903221,3386.0,608,0.10163251892089843,True,REGULAR,USD,2025-07-22,PUT
SPY250722P00630000,2025-07-18,630.0,3.28,3.24,3.29,-0.26999998,-7.6056333,3077.0,212,0.098641826171875,True,REGULAR,USD,2025-07-22,PUT
SPY250722P00631000,2025-07-18,631.0,4.01,3.92,3.99,-0.03999996,-0.9876533,1153.0,13,0.09595630615234377,True,REGULAR,USD,2025-07-22,PUT
SPY250722P00633000,2025-07-18,633.0,5.61,5.53,5.64,0.11000013,2.0000024,152.0,30,0.09302664794921875,True,REGULAR,USD,2025-07-22,PUT
SPY250722P00634000,2025-07-18,634.0,6.86,6.44,6.56,0.4300003,6.687408,53.0,23,0.09400320068359375,True,REGULAR,USD,2025-07-22,PUT
